ch1,ch2,expected,event_label,pair,band,fmin,fmax,coh,imcoh,plv,pli,wpli
Fp2,POLY3,eeg_neck_emg,Рука,Fp2-POLY3,beta,13.0,30.0,0.10379031345226754,-0.0006916882441829703,0.10578378289386593,0.09679487179487181,0.1399920540975405
Fp2,POLY3,eeg_neck_emg,Рука,Fp2-POLY3,high_beta,20.0,30.0,0.11034653881485657,-0.011150379493016479,0.12852444670700466,0.11397849462365592,0.15236708914840755
Fp2,POLY3,eeg_neck_emg,Рука,Fp2-POLY3,low_gamma,30.0,45.0,0.10185592624265831,-0.033373562650906255,0.1044363403703114,0.10289855072463774,0.13846310345548077
Fp2,POLY4,eeg_neck_emg,Рука,Fp2-POLY4,delta,1.0,4.0,0.1358957975649228,0.0038362945045543177,0.16534431760515073,0.15000000000000002,0.38780014693996245
Fp2,POLY4,eeg_neck_emg,Рука,Fp2-POLY4,theta,4.0,8.0,0.09987434963378802,-0.009263189718705513,0.13857698341284302,0.1230769230769231,0.22274306658825635
Fp2,POLY4,eeg_neck_emg,Рука,Fp2-POLY4,alpha,8.0,13.0,0.12912577508545842,0.02027934403899127,0.14627995664247215,0.11666666666666668,0.20688699416644726
Fp2,POLY4,eeg_neck_emg,Рука,Fp2-POLY4,beta,13.0,30.0,0.12158365394881576,-0.001746006952587253,0.12322489514699787,0.09807692307692308,0.14342141747182338
Fp2,POLY4,eeg_neck_emg,Рука,Fp2-POLY4,high_beta,20.0,30.0,0.1314370677583267,0.00993855699551816,0.12180799513258649,0.0946236559139785,0.16645260456021996
Fp2,POLY4,eeg_neck_emg,Рука,Fp2-POLY4,low_gamma,30.0,45.0,0.10925351243084543,0.019653427571622452,0.10485154378356625,0.0891304347826087,0.14819427490845846
O1,POLY3,eeg_neck_emg,Рука,O1-POLY3,delta,1.0,4.0,0.11042124277524981,-0.021888209430462144,0.10162655580109417,0.10666666666666666,0.33103845789729297
O1,POLY3,eeg_neck_emg,Рука,O1-POLY3,theta,4.0,8.0,0.09284483960703599,-0.0095190674943825,0.10429902497267547,0.08205128205128205,0.20800589129795738
O1,POLY3,eeg_neck_emg,Рука,O1-POLY3,alpha,8.0,13.0,0.11999432972462548,-0.016157358122301724,0.13394114850130648,0.16458333333333333,0.24770056284515057
O1,POLY3,eeg_neck_emg,Рука,O1-POLY3,beta,13.0,30.0,0.1160740262366364,0.028802896140171768,0.11125119208955499,0.10256410256410259,0.17723676054006757
O1,POLY3,eeg_neck_emg,Рука,O1-POLY3,high_beta,20.0,30.0,0.11091511383629386,0.023698619472634005,0.11405458349099244,0.11935483870967743,0.16603574622742379
O1,POLY3,eeg_neck_emg,Рука,O1-POLY3,low_gamma,30.0,45.0,0.09790581854176543,-0.018689438604558527,0.10226802676763146,0.09492753623188409,0.12583127494379545
O1,POLY4,eeg_neck_emg,Рука,O1-POLY4,delta,1.0,4.0,0.1241078405314433,0.025406725278310293,0.131516443283786,0.14,0.4071007394210242
O1,POLY4,eeg_neck_emg,Рука,O1-POLY4,theta,4.0,8.0,0.12216796398831103,0.005685113205031054,0.09493782675320078,0.0846153846153846,0.27688874342105396
O1,POLY4,eeg_neck_emg,Рука,O1-POLY4,alpha,8.0,13.0,0.14362199051495322,0.06057741716858216,0.1334681434303925,0.10833333333333334,0.22675948283010716
O1,POLY4,eeg_neck_emg,Рука,O1-POLY4,beta,13.0,30.0,0.11905193807995833,-0.035671834124240735,0.09858989269962588,0.10448717948717953,0.19178472869150115
O1,POLY4,eeg_neck_emg,Рука,O1-POLY4,high_beta,20.0,30.0,0.11407398405657312,-0.0055418660731911635,0.09871351056984771,0.11075268817204302,0.17990149400075628
O1,POLY4,eeg_neck_emg,Рука,O1-POLY4,low_gamma,30.0,45.0,0.12439435996038344,0.011873143993131816,0.11980570322042104,0.09347826086956523,0.13255158944863035
O2,POLY3,eeg_neck_emg,Рука,O2-POLY3,delta,1.0,4.0,0.1036454950485921,-0.0011831286853732233,0.15470128690955348,0.11666666666666667,0.2152408656869637
O2,POLY3,eeg_neck_emg,Рука,O2-POLY3,theta,4.0,8.0,0.10804373240066983,-0.020728617250661253,0.102181814455953,0.09743589743589745,0.20775352950874867
O2,POLY3,eeg_neck_emg,Рука,O2-POLY3,alpha,8.0,13.0,0.10384338591930022,-0.02562277066843718,0.1174521823249457,0.08333333333333334,0.15207596105982585
O2,POLY3,eeg_neck_emg,Рука,O2-POLY3,beta,13.0,30.0,0.10550718275994199,0.00487892886535767,0.10510939218477464,0.10384615384615384,0.14559276042790997
O2,POLY3,eeg_neck_emg,Рука,O2-POLY3,high_beta,20.0,30.0,0.11037084240253432,-0.00826235095200783,0.12924599589565955,0.12150537634408606,0.15511727768375325
O2,POLY3,eeg_neck_emg,Рука,O2-POLY3,low_gamma,30.0,45.0,0.10485172637871697,-0.039923444454478416,0.10400658370208672,0.09637681159420293,0.1469497645226578
O2,POLY4,eeg_neck_emg,Рука,O2-POLY4,delta,1.0,4.0,0.13367940619963053,0.008831690095887553,0.1695822047993523,0.13999999999999999,0.39021831868145285
O2,POLY4,eeg_neck_emg,Рука,O2-POLY4,theta,4.0,8.0,0.1084629820630021,-0.00579168610705132,0.14556451966634848,0.12820512820512822,0.23280048291872643
O2,POLY4,eeg_neck_emg,Рука,O2-POLY4,alpha,8.0,13.0,0.12874671754084668,0.016971863695259607,0.13903519004482293,0.11458333333333336,0.205247028212376
O2,POLY4,eeg_neck_emg,Рука,O2-POLY4,beta,13.0,30.0,0.12387979793764001,0.0017928374015416114,0.12039063291788851,0.10256410256410257,0.13986935530652286
O2,POLY4,eeg_neck_emg,Рука,O2-POLY4,high_beta,20.0,30.0,0.13195092047472057,0.011333227945333991,0.11733512570909917,0.09354838709677422,0.16138599624598363
O2,POLY4,eeg_neck_emg,Рука,O2-POLY4,low_gamma,30.0,45.0,0.10437370892581876,0.02247232016149908,0.10303950519984709,0.09420289855072467,0.13737554542943278
